GeneSymbol	GeneName	GFOLD	E_FDR	log2fdc	X1stRPKM	X2ndRPKM	threshold
AT1G01480	ACS2	0	1	1.39988	0	0.341937	Not
AT1G01490	NA	0	1	0.37434	2.29632	4.2636	Not
AT1G01500	NA	0	1	0.0373052	0.805518	1.19649	Not
AT1G01510	AN	0	1	-0.322591	1.08319	1.2067	Not
AT1G01520	RVE3	0	1	0.814913	0	0.222647	Not
AT1G01530	AGL28	0	1	-0.185087	0	0	Not
AT1G01540	NA	0	1	0.0165466	2.43695	3.49276	Not
AT1G01550	BPS1	0	1	-0.0714305	10.0932	13.5345	Not
AT1G01560	MPK11	0	1	-2.77005	0.772826	0	Not
AT1G01570	NA	0	1	1.81491	0	0.5627	Not
AT1G01580	FRO2	0	1	-1.18509	0.501117	0.248114	Not
AT1G01590	FRO1	0	1	0.814913	0	0.134742	Not
AT1G01600	CYP86A4	0	1	-0.185087	1.35256	1.67421	Not
AT1G01610	GPAT4	0	1	0.329486	2.98159	5.35142	Not
AT1G01620	PIP1-3	-0.0342266	1	-0.446133	26.5537	27.3903	Not
AT1G01630	NA	0	1	-0.185087	3.86256	4.78111	Not
AT1G01640	NA	0	1	-0.185087	0	0	Not
AT1G01650	SPPL4	0	1	-0.62566	1.84348	1.64802	Not
AT1G01660	PUB55	0.928828	1	2.90238	0.140985	2.79221	Not
AT1G01670	PUB56	0	1	-0.185087	0	0	Not
AT1G01680	PUB54	0	1	0.814913	0	0.297863	Not
AT1G01690	NA	0	1	-0.185087	0.153733	0.190292	Not
AT1G01695	NA	0	1	-1.18509	0.172278	0	Not
AT1G01700	ROPGEF2	0	1	1.39988	0	0.335449	Not
AT1G01710	NA	0	1	-0.185087	2.01507	2.49427	Not
AT1G01715	NA	0	1	-1.18509	0.323118	0	Not
AT1G01720	NAC002	0	1	0.399875	0.863994	1.71113	Not
AT1G01725	NA	0	1	-1.77005	1.06382	0	Not
AT1G01730	NA	0	1	-1.60012	1.67039	0.590749	Not
AT1G01740	NA	0	1	1.39988	0	0.345108	Not
AT1G01750	ADF10	0	1	-0.185087	0	0	Not
AT1G01760	NA	0	1	1.39988	0	0.4467	Not
AT1G01770	NA	0	1	-2.77005	0.600834	0	Not
AT1G01780	PLIM2B	0	1	0.399875	0.304192	0.753063	Not
AT1G01790	KEA1	0	1	-0.854939	2.2341	1.70803	Not
AT1G01800	NA	0	1	-0.327106	7.14091	7.98368	Not
AT1G01810	NA	0	1	-0.185087	0.437422	0.541444	Not
AT1G01820	PEX11C	0	1	-0.563599	2.71604	2.52145	Not
AT1G01830	NA	0	1	-0.715602	1.27044	1.04837	Not
AT1G01840	NA	0	1	-0.185087	0.34749	0.430125	Not
AT1G01860	PFC1	0	1	-0.185087	0.542005	0.670898	Not
AT1G01870	NA	0	1	0.551878	7.82566	19.3733	Not
AT1G01880	GEN1	0	1	1.81491	0	0.468709	Not
AT1G01890	NA	0	1	-0.185087	0	0	Not
AT1G01900	SBTI1.1	0	1	0.20723	1.64348	2.71241	Not
AT1G01910	NA	0	1	-0.895581	2.66364	1.93946	Not
AT1G01920	NA	0	1	-0.185087	0.361413	0.447359	Not
AT1G01930	NA	0	1	-0.185087	0.271905	0.336566	Not
AT1G01940	CYP18-1	0	1	-0.715602	3.90837	3.2252	Not
AT1G01950	ARK2	0	1	0.0779471	0.800102	1.21046	Not
AT1G01960	BIG3	0	1	-0.307944	2.35374	2.67069	Not
AT1G01970	NA	0	1	-0.185087	0.835194	1.03381	Not
AT1G01980	NA	0	1	-1.18509	0.147769	0	Not
AT1G01990	NA	0	1	0.22995	0.385214	0.715232	Not
AT1G02000	GAE2	0	1	-1.03308	1.09439	0.677324	Not
AT1G02010	SEC1A	0	1	-0.185087	0	0	Not
AT1G02020	NA	0	1	0.00755781	0.681981	0.984855	Not
AT1G02030	ZAT1	0	1	2.39988	0	0.828016	Not
AT1G02040	NA	0	1	-1.18509	0.243509	0	Not
AT1G02050	PKSA	0	1	0.814913	0.370957	1.14793	Not
AT1G02060	NA	0	1	-1.18509	0.128376	0	Not
AT1G02065	SPL8	0	1	1.39988	0.132669	0.821094	Not
AT1G02067	NA	0	1	-0.185087	0	0	Not
AT1G02070	NA	0	1	0.814913	0	0.448115	Not
AT1G02080	NA	0	1	0.22995	1.86715	3.09697	Not
AT1G02090	CSN7	0	1	0.525406	1.56943	3.30251	Not
AT1G02100	NA	0	1	1.81491	0.3981	2.71024	Not
AT1G02110	NA	0	1	-0.185087	0.370315	0.458379	Not
AT1G02120	VAD1	0	1	-0.448122	2.91854	2.98432	Not
AT1G02130	RABD2A	0	1	0.22995	1.28665	2.22968	Not
AT1G02140	NA	0	1	0.399875	6.20239	11.7181	Not
AT1G02145	ALG12	0	1	-0.185087	0.66273	0.820332	Not
AT1G02150	NA	0	1	-0.185087	4.18568	5.18107	Not
AT1G02160	NA	0	1	-0.863159	3.29943	2.33375	Not
AT1G02170	AMC1	0	1	1.32949	1.18113	4.6297	Not
AT1G02180	NA	0	1	1.81491	0	1.15042	Not
AT1G02190	NA	0	1	-0.922053	0.520522	0.322153	Not
AT1G02205	CER1	0	1	0.0427186	5.96235	8.65949	Not
AT1G02210	NA	0	1	-0.185087	0	0	Not
AT1G02220	NAC003	0	1	-1.18509	0.179646	0	Not
AT1G02230	NAC004	0	1	0.814913	0	0.246214	Not
AT1G02250	NAC005	0	1	-0.185087	0	0	Not
AT1G02260	NA	0	1	0.22995	0.22151	0.411279	Not
AT1G02270	NA	0	1	-1.50702	1.40631	0.580246	Not
AT1G02280	TOC33	0	1	0.492985	3.294	6.69848	Not
AT1G02290	NA	0	1	1.81491	0	0.600277	Not
AT1G02300	NA	0	1	0.399875	0.585321	1.20752	Not
AT1G02305	NA	0	1	-0.206461	13.6017	16.585	Not
AT1G02310	MAN1	0	1	-0.185087	0	0	Not
AT1G02320	NA	0	1	-0.185087	0	0	Not
AT1G02330	NA	0	1	0.902376	3.59141	9.78003	Not
AT1G02335	NA	0	1	-0.185087	3.17374	3.92848	Not
AT1G02340	HFR1	0	1	1.39988	0	0.464603	Not
AT1G02350	NA	0	1	-0.185087	0	0	Not
AT1G02360	NA	0	1	-0.185087	0.441478	0.546465	Not
AT1G02370	NA	-0.0151609	1	-0.0330842	1.1506	1.60225	Not
AT1G02380	NA	0	1	-0.185087	0	0	Not
AT1G02390	GPAT2	0	1	-0.185087	0.137723	0.170474	Not
AT1G02400	GA2OX6	0	1	-1.18509	0.190806	0	Not
AT1G02405	NA	0	1	-0.185087	0	0	Not
AT1G02410	COX11	0	1	-0.185087	0.938976	1.16227	Not
AT1G02420	NA	0	1	-0.185087	0.375838	0.465215	Not
AT1G02430	NA	0	1	-1.18509	0.293865	0	Not
AT1G02440	NA	0	1	-1.18509	0.300038	0	Not
AT1G02450	NIMIN-1	0	1	-0.77005	0.916971	0.567517	Not
AT1G02460	NA	0	1	1.81491	0	0.510192	Not
AT1G02470	NA	0	1	-2.18509	0.847586	0	Not
AT1G02475	NA	0	1	-0.822517	3.40355	2.59258	Not
AT1G02480	NA	0	1	-0.185087	0	0	Not
AT1G02490	NA	0	1	0.136841	2.87554	4.74581	Not
AT1G02500	SAM1	-0.289711	1	-0.748023	21.0435	17.5671	Not
AT1G02510	TPK4	0	1	-0.185087	0	0	Not
AT1G02520	ABCB11	0	1	-0.185087	0.126332	0.156375	Not
AT1G02530	ABCB12	0	1	1.03731	0.135341	0.502577	Not
AT1G02540	NA	0	1	-1.18509	0.32719	0	Not
AT1G02550	NA	0	1	-0.185087	0	0	Not
AT1G02560	CLPP5	-0.0740453	1	-0.50176	26.2654	26.057	Not
AT1G02570	NA	0	1	0.814913	0	0.350062	Not
AT1G02575	NA	0	1	0.984838	0.818443	2.70153	Not
AT1G02580	MEA	0	1	-1.18509	0.118325	0	Not
AT1G02590	NA	0	1	-1.18509	1.05791	0	Not
AT1G02600	NA	-0.651687	1	-1.01447	912.45	633.467	Not
AT1G02610	NA	0	1	1.39988	0	0.480058	Not
AT1G02620	NA	0	1	-1.18509	0.206534	0	Not
AT1G02630	ETN8	0	1	-0.600125	0.4806	0.396593	Not
AT1G02640	BXL2	0	1	0.50679	1.23608	2.55004	Not
AT1G02650	NA	0	1	-0.185087	0.14908	0.184532	Not
AT1G02660	NA	0	1	-1.18509	0.100505	0	Not
AT1G02670	NA	0	1	-0.185087	0	0	Not
AT1G02680	TAF13	0	1	-0.185087	0.629849	0.779632	Not
AT1G02690	IMPA6	0	1	0.329486	0.788325	1.46369	Not
AT1G02700	NA	0	1	1.81491	0	0.782219	Not
AT1G02705	NA	0	1	-1.18509	0.670508	0	Not
AT1G02710	NA	0	1	-1.18509	0.981569	0	Not
AT1G02720	GATL5	0	1	0.814913	0.221166	0.684404	Not
AT1G02730	CSLD5	0	1	-1.03308	1.89211	1.26112	Not
AT1G02740	MRG2	0	1	-0.600125	0.547196	0.451549	Not
AT1G02750	DI19-2	-0.022975	1	-1.86316	3.88445	1.28219	Not
AT1G02760	NA	0	1	-1.77005	7.82566	0	Not
AT1G02770	NA	0	1	-0.185087	0.23166	0.28675	Not
AT1G02780	RPL19A	-0.00851049	1	-0.386294	43.2705	46.5466	Not
AT1G02790	PGA3	0	1	1.22995	0.338833	1.46794	Not
AT1G02800	CEL2	0	1	-0.185087	0.31337	0.387891	Not
AT1G02810	PME7	0	1	-0.185087	0	0	Not
AT1G02813	NA	0	1	-2.18509	1.31428	0	Not
AT1G02816	NA	0	1	0.0373052	0.8915	1.32421	Not
AT1G02820	NA	0	1	-1.18509	0.350045	0	Not
AT1G02830	RPL22A	0	1	-1.18509	0.64188	0	Not
AT1G02840	SR34	-0.135664	1	-1.06644	4.78878	3.13813	Not
AT1G02850	BGLU11	0	1	0.59252	1.69093	3.70307	Not
AT1G02860	BAH1	0	1	-0.77005	0.923195	0.685643	Not
AT1G02870	NA	0	1	0.0373052	1.68617	2.50458	Not
AT1G02880	TPK1	0	1	-1.40748	0.859057	0.354449	Not
AT1G02890	NA	0	1	0.470265	2.63166	5.17857	Not
AT1G02900	RALF1	0	1	0.814913	0	0.414008	Not
AT1G02910	LPA1	0	1	0.136841	2.49682	3.91474	Not
AT1G02920	GSTF7	-0.48901	1	-1.23571	13.4223	7.86991	Not
AT1G02930	GSTF6	0	1	-0.60732	15.8955	14.6076	Not
AT1G02940	GSTF5	0	1	-1.18509	0.292961	0	Not
AT1G02950	GSTF4	0	1	-0.670514	1.74523	1.44018	Not
AT1G02952	NA	0	1	-2.18509	1.47998	0	Not
AT1G02960	NA	0	1	-0.77005	0.296919	0.183765	Not
AT1G02965	NA	0	1	-0.185087	0.584124	0.723033	Not
AT1G02970	WEE1	0	1	0.399875	0.150573	0.37276	Not
AT1G02980	CUL2	0	1	-1.18509	0.114806	0	Not
AT1G02990	NA	0	1	0.177483	0.353729	0.583799	Not
AT1G03000	PEX6	0	1	-0.69966	0.780191	0.643817	Not
AT1G03010	NA	0	1	-0.185087	0.106027	0.131241	Not
AT1G03020	GRXS1	0	1	0.399875	0.424423	1.05071	Not
AT1G03030	NA	0	1	-1.18509	1.93592	1.08923	Not
AT1G03040	BHLH7	0	1	0.177483	2.22886	3.60779	Not
AT1G03050	NA	0	1	1.39988	0.128549	0.795596	Not
AT1G03055	D27	0	1	1.39988	0	0.627998	Not
AT1G03060	SPI	0	1	-0.77005	0.690346	0.559855	Not
AT1G03070	NA	0	1	-0.77005	0.457751	0.283304	Not
AT1G03080	NET1D	0	1	0.00132585	1.29687	1.83461	Not
AT1G03090	MCCA	0	1	-0.600125	1.1463	1.03192	Not
AT1G03100	NA	0	1	-1.18509	0.101397	0	Not
AT1G03103	NA	0	1	-0.185087	0	0	Not
AT1G03106	NA	0	1	-0.185087	0	0	Not
AT1G03110	NA	0	1	-0.77005	1.44901	1.121	Not
AT1G03120	NA	0	1	-0.185087	0	0	Not
AT1G03130	PSAD2	0	1	0.225981	26.8905	44.3803	Not
AT1G03140	NA	0	1	0.50679	2.20711	4.55329	Not
AT1G03150	NA	0	1	0.22995	0.706147	1.31111	Not
AT1G03160	FZL	0	1	-0.69966	2.75656	2.35316	Not
AT1G03165	NA	0	1	-0.185087	0	0	Not
AT1G03170	FAF2	0	1	0.22995	0.247411	0.459372	Not
AT1G03180	NA	0	1	-0.185087	0	0	Not
AT1G03190	XPD	0	1	1.13684	0.103081	0.510376	Not
AT1G03200	NA	0	1	-1.18509	0.65513	0	Not
AT1G03210	NA	-0.0475824	1	-0.0595564	2.60855	3.55177	Not
AT1G03220	NA	0	1	-0.0406974	2.71891	3.73943	Not
AT1G03230	NA	0	1	0.0213636	1.83296	2.647	Not
AT1G03240	NA	0	1	-0.185087	0	0	Not
AT1G03250	NA	0	1	-0.185087	2.54683	3.15248	Not
AT1G03260	NA	0	1	-1.77005	0.395893	0	Not
AT1G03270	CBSDUF4	0	1	1.39988	0	0.400638	Not
AT1G03280	NA	0	1	-0.185087	1.47109	1.82093	Not
AT1G03290	NA	0	1	-0.69966	1.11646	0.94555	Not
AT1G03300	DUF1	0	1	0.399875	0.141896	0.35128	Not
AT1G03310	ISA2	0	1	0.00755781	1.20718	1.72414	Not
AT1G03320	NA	0	1	0.814913	0	0.50437	Not
AT1G03325	NA	0	1	-0.185087	0	0	Not
AT1G03330	LSM2	0	1	-0.185087	0.737126	0.912421	Not
AT1G03340	NA	0	1	-0.185087	0.18954	0.234614	Not
AT1G03350	NA	0	1	0.921828	1.87405	5.21936	Not
AT1G03360	RRP4	0	1	0.30034	0.862299	1.60104	Not
AT1G03365	RF4	0	1	-0.185087	0.599897	0.742557	Not
AT1G03370	NA	0	1	0.128573	4.70043	7.25171	Not
AT1G03380	ATG18G	0	1	-0.345552	1.22913	1.35238	Not
AT1G03390	NA	0	1	-0.185087	0	0	Not
AT1G03395	NA	0	1	-0.185087	0	0	Not
AT1G03400	NA	0	1	-1.32259	4.0833	2.16615	Not
AT1G03410	2A6	0	1	0.22995	0.215412	0.399958	Not
AT1G03430	AHP5	0	1	-0.922053	0.856481	0.53008	Not
AT1G03440	NA	0	1	-1.77005	0.665199	0.164678	Not
AT1G03445	BSU1	0	1	-0.185087	0	0	Not
AT1G03457	BRN2	0	1	0.399875	0.136734	0.3385	Not
AT1G03470	NET3A	0	1	-1.18509	0.62457	0.257699	Not
AT1G03475	CPX1	-0.238517	1	-0.698039	20.6484	17.8506	Not
AT1G03490	NAC006	0	1	-1.18509	0.337632	0	Not
AT1G03495	NA	0	1	1.13684	0.217877	1.07876	Not
AT1G03502	NA	0	1	-0.185087	0	0	Not
AT1G03506	NA	0	1	-0.185087	0	0	Not
AT1G03510	PCMP-E3	0	1	-0.185087	0	0	Not
AT1G03515	NA	0	1	1.39988	0	9.8212	Not
AT1G03520	NA	0	1	1.13684	0.133662	0.661793	Not
AT1G03530	NA	0	1	-1.32259	0.977872	0.484167	Not
AT1G03540	PCMP-E4	0	1	-1.50702	0.5923	0.183288	Not
AT1G03545	NA	0	1	-0.185087	0.147387	0.182437	Not
AT1G03550	SCAMP2	0	1	-0.185087	0.200587	0.248289	Not
AT1G03560	NA	0	1	-0.185087	0	0	Not
AT1G03570	NA	-1.74545	1	-3.08125	261.833	39.2848	Down
AT1G03590	PPC6-6	0	1	-0.863159	0.901062	0.637338	Not
AT1G03600	PSB27-1	0	1	0.180562	11.0779	17.7454	Not
AT1G03610	NA	0	1	-1.99244	0.868196	0.17911	Not
AT1G03620	NA	0	1	0.814913	0	0.142451	Not
AT1G03630	PORC	-0.10629	1	-0.568416	19.0211	18.0046	Not
AT1G03640	NA	0	1	-0.185087	0	0	Not
AT1G03650	NA	0	1	-2.18509	0.960661	0	Not
AT1G03660	NA	0	1	-0.185087	0	0	Not
AT1G03670	NA	0	1	-1.18509	0.154315	0	Not
AT1G03680	NA	0	1	0.217877	26.5639	43.595	Not
AT1G03687	NA	0	1	-1.77005	1.47807	0.457391	Not
AT1G03700	NA	0	1	-0.185087	0	0	Not
AT1G03710	NA	0	1	0.814913	0	0.339964	Not
AT1G03720	NA	0	1	-0.185087	0	0	Not
AT1G03730	NA	0	1	0.399875	0.224734	0.556354	Not
AT1G03740	NA	0	1	0.814913	0.520285	1.39536	Not
AT1G03743	NA	0	1	-0.185087	0	0	Not
AT1G03746	NA	0	1	1.39988	0	8.31913	Not
AT1G03750	SWI2	0	1	0.492985	0.411432	0.891228	Not
AT1G03760	NA	0	1	-0.185087	0.62005	0.767503	Not
AT1G03770	RING1B	0	1	-2.18509	0.337632	0	Not
AT1G03780	TPX2	0	1	-1.35501	0.786336	0.365	Not
AT1G03790	NA	0	1	2.39988	0	0.953	Not
AT1G03800	ERF10	0	1	-0.185087	0	0	Not
AT1G03810	NA	0	1	1.39988	0	1.63687	Not
AT1G03820	NA	0	1	0.885302	2.28104	6.27441	Not
AT1G03830	NA	0	1	-0.185087	0.312684	0.387042	Not
AT1G03840	MGP	0	1	-0.185087	0.297074	0.36772	Not
AT1G03850	GRXS13	0	1	1.81491	0	0.736078	Not
AT1G03860	PHB2	0	1	-0.538724	3.69647	3.53563	Not
AT1G03870	FLA9	0	1	-0.117973	4.90784	6.37871	Not
AT1G03880	CRB	0	1	-0.185087	0	0	Not
AT1G03890	CRD	0	1	-0.185087	0.187919	0.232607	Not
AT1G03900	NA	0	1	0.345427	3.91915	7.13404	Not
AT1G03905	ABCI19	0	1	0.814913	0	0.200888	Not
AT1G03910	CTN	0	1	0.966916	0.847272	2.4908	Not
AT1G03920	NA	0	1	-0.185087	0	0	Not
AT1G03930	CKL9	0	1	0.262372	1.1808	2.04625	Not
AT1G03935	NA	0	1	-0.185087	0	0	Not
AT1G03940	3AT1	0	1	-0.185087	0.297848	0.368679	Not
AT1G03950	VPS2.3	0	1	-0.77005	1.39607	1.03684	Not
AT1G03960	BEPSILON	0	1	0.622268	0.309577	0.766394	Not
AT1G03970	GBF4	0	1	-0.533011	3.1204	2.97112	Not
AT1G03980	PCS2	0	1	-0.185087	0	0	Not
AT1G03982	RIC8	0	1	-0.185087	0	0	Not
AT1G03987	NA	0	1	-0.185087	0	0	Not
AT1G03990	FAO1	0	1	0.814913	0	0.148307	Not
AT1G03993	NA	0	1	0.551878	0.724966	1.79474	Not
AT1G03997	NA	0	1	-0.185087	0	0	Not
AT1G04000	NA	0	1	-0.507015	0.901773	0.837166	Not
AT1G04003	NA	0	1	-0.185087	0	0	Not
AT1G04007	NA	0	1	-0.185087	0	0	Not
AT1G04010	PSAT	0	1	0.22995	0.21404	0.397411	Not
AT1G04013	NA	0	1	-2.18509	3.4414	0	Not
AT1G04017	NA	0	1	-0.185087	0	0	Not
AT1G04020	NA	0	1	-0.377732	0.806232	0.855394	Not
AT1G04023	NA	0	1	-0.185087	0	0	Not
AT1G04027	MI0010632	0	1	-0.185087	0	0	Not
AT1G04030	NA	0	1	-0.737628	3.23537	2.66984	Not
AT1G04033	NA	0	1	-0.185087	0	0	Not
AT1G04037	NA	0	1	-0.185087	0	0	Not
AT1G04040	NA	0	1	0.0213636	9.99465	14.3248	Not
AT1G04043	NA	0	1	0.814913	0	1.0278	Not
AT1G04047	NA	0	1	-1.18509	0.63334	0	Not
AT1G04050	SUVR1	0	1	-0.77005	0.18044	0.111675	Not
AT1G04053	NA	0	1	-0.185087	0	0	Not
AT1G04057	NA	0	1	-0.185087	0	0	Not
AT1G04063	NA	0	1	-0.185087	0	0	Not
AT1G04067	NA	0	1	-1.18509	0.554634	0	Not
AT1G04070	TOM9-1	0	1	1.13684	0.413966	2.04964	Not
AT1G04073	NA	0	1	-0.185087	0	0	Not
AT1G04077	NA	0	1	1.13684	1.35117	4.68295	Not
AT1G04080	NA	0	1	0.399875	1.75237	3.3008	Not
AT1G04083	NA	0	1	0.814913	0	1.28568	Not
AT1G04087	NA	0	1	-0.185087	0	0	Not
AT1G04090	NA	0	1	-0.185087	0	0	Not
AT1G04093	NA	0	1	-0.185087	0	0	Not
AT1G04097	NA	0	1	-1.18509	0.895412	0	Not
AT1G04100	IAA10	0	1	-1.18509	0.65513	0.270308	Not
AT1G04103	NA	0	1	-0.185087	0	0	Not
AT1G04105	NA	0	1	-1.18509	0.710539	0	Not
AT1G04110	SBT1.2	0	1	1.13684	0.113664	0.562774	Not
AT1G04117	NA	0	1	-0.185087	0.185358	0.229437	Not
AT1G04120	ABCC5	0	1	-0.369512	1.2198	1.32114	Not
AT1G04123	NA	0	1	-0.185087	0	0	Not
AT1G04127	NA	0	1	-0.185087	0	0	Not
AT1G04130	NA	0	1	0.814913	0.564871	1.63147	Not
AT1G04133	NA	0	1	-0.185087	0	0	Not
AT1G04137	NA	0	1	-0.185087	0	0	Not
AT1G04140	NA	0	1	-1.53872	2.00127	0.900798	Not
AT1G04143	NA	0	1	-0.185087	0	0	Not
AT1G04147	NA	0	1	-0.185087	0	0	Not
AT1G04150	NA	0	1	-0.77005	0.167627	0.103745	Not
AT1G04153	NA	0	1	-0.185087	0	0	Not
AT1G04157	NA	0	1	-0.185087	0	0	Not
AT1G04160	XI-B	0.155253	1	1.81491	0.270387	1.53956	Not
AT1G04163	NA	0	1	-1.18509	0.200587	0	Not
AT1G04167	NA	0	1	-0.185087	0	0	Not
AT1G04170	NA	-0.0894279	1	-0.845601	6.7673	5.23539	Not
AT1G04173	NA	0	1	-0.185087	0	0	Not
AT1G04177	NA	0	1	1.81491	0	3.50062	Not
AT1G04180	YUC9	0	1	-0.185087	0	0	Not
AT1G04183	NA	0	1	-0.185087	0.28464	0.35233	Not
AT1G04187	NA	0	1	-2.18509	6.39485	0	Not
AT1G04190	NA	0	1	-1.99244	1.20862	0.249339	Not
AT1G04193	NA	0	1	-0.185087	0	0	Not
AT1G04197	NA	0	1	-0.185087	0	0	Not
AT1G04200	NA	0	1	-0.670514	0.552488	0.455916	Not
AT1G04203	NA	0	1	-0.185087	0	0	Not
AT1G04207	NA	0	1	-0.185087	0	0	Not
AT1G04210	NA	0	1	0.814913	0.284499	0.792347	Not
AT1G04213	NA	0	1	-0.185087	0	0	Not
AT1G04217	NA	0	1	-1.18509	9.91793	4.9106	Not
AT1G04220	KCS2	0	1	0.622268	0.419232	1.03786	Not
AT1G04223	NA	0	1	-1.18509	2.44134	0	Not
AT1G04227	NA	0	1	-0.185087	0	0	Not
AT1G04230	NA	0	1	0.0779471	0.571559	0.88435	Not
AT1G04233	NA	0	1	-0.922053	2.91466	1.80389	Not
AT1G04237	NA	0	1	0.177483	5.75107	9.49163	Not
AT1G04240	IAA3	0	1	0.22995	1.68641	2.87025	Not
AT1G04243	NA	0	1	-0.185087	0	0	Not
AT1G04247	NA	0	1	0.814913	0	0.15359	Not
AT1G04250	IAA17	0	1	0.93039	1.08442	3.22153	Not
AT1G04253	NA	0	1	-0.185087	0	0	Not
AT1G04257	NA	0	1	-0.185087	0	0	Not
AT1G04260	PRA1D	0	1	-1.50702	0.887759	0.274719	Not
AT1G04263	NA	-1.79904	1	-2.64452	246.043	52.5094	Down
AT1G04267	NA	0	1	-0.185087	0	0	Not
AT1G04270	RPS15A	-0.521785	1	-1.14946	24.4478	15.3223	Not
AT1G04273	NA	0	1	-0.185087	0	0	Not
AT1G04277	NA	0	1	0.814913	2.02579	7.52262	Not
AT1G04280	NA	0	1	-0.77005	0.568997	0.422585	Not
AT1G04283	NA	0	1	-0.185087	0	0	Not
AT1G04287	NA	0	1	-0.185087	0	0	Not
AT1G04290	NA	0	1	0.0373052	1.26053	1.87235	Not
AT1G04293	NA	0	1	-0.185087	0	0	Not
AT1G04295	NA	0	1	0.0373052	2.58729	3.84308	Not
AT1G04297	NA	0	1	-0.185087	0	0	Not
AT1G04300	NA	0	1	-0.600125	1.05817	0.960532	Not
AT1G04303	NA	0	1	0.814913	0	1.48556	Not
AT1G04307	NA	0	1	-0.185087	0	0	Not
AT1G04310	ERS2	0	1	-0.0151623	0.770206	1.08956	Not
AT1G04313	NA	0	1	-0.185087	0	0	Not
AT1G04320	NA	0	1	-1.77005	8.0461	0	Not
AT1G04323	NA	0	1	-0.185087	0	0	Not
AT1G04327	NA	0	1	-0.185087	0	0	Not
AT1G04330	NA	0	1	0.814913	0	0.509457	Not
AT1G04333	NA	0	1	-0.185087	0	0	Not
